"","addrpct","perc_142007","perc_142008","perc_142009","perc_142010","perc_242007","perc_242008","perc_242009","perc_242010","perc_272007","perc_272008","perc_272009","perc_272010","perc_282007","perc_282008","perc_282009","perc_282010","perc_452007","perc_452008","perc_452009","perc_452010","perc_582007","perc_582008","perc_582009","perc_582010","perc_622007","perc_622008","perc_622009","perc_622010","perc_722007","perc_722008","perc_722009","perc_722010","perc_742007","perc_742008","perc_742009","perc_742010","perc_772007","perc_772008","perc_772009","perc_772010","perc_852007","perc_852008","perc_852009","perc_852010","perc_92007","perc_92008","perc_92009","perc_92010","perc_952007","perc_952008","perc_952009","perc_952010"
"112",108,44.5175993922512,43.0601092896175,45.0683735816119,32.2126436781609,5.44441630792606,2.07650273224044,4.36427116671516,7.58620689655172,1.8738921245885,2.04918032786885,1.57113762001746,2.09770114942529,4.88731324385921,4.45355191256831,6.05178935117835,9.77011494252874,2.6335781210433,3.22404371584699,4.10241489671225,6.66666666666667,NA,0.0546448087431694,NA,NA,0.0253228665484933,0.0546448087431694,0.0290951411114344,NA,NA,NA,NA,NA,0.379842998227399,0.437158469945355,0.931044515565901,0.804597701149425,NA,0.0819672131147541,NA,0.0862068965517241,33.2742466447202,37.103825136612,28.6296188536514,33.0172413793103,6.25474803747784,7.10382513661202,8.75763747454175,7.44252873563218,0.709040263357812,0.300546448087432,0.494617398894385,0.316091954022989
"122",109,51.6232038318254,39.7285626156693,46.8427264679847,48.0340557275542,6.46620542841937,5.05860579888957,3.29005606373561,3.04953560371517,10.4044704630122,4.11268764137364,4.97196813219239,6.43962848297214,2.5279403938265,2.87888134896155,1.50486869282974,1.65634674922601,3.43267695582757,5.24367674275139,4.72115668338743,3.8390092879257,NA,0.0205634382068682,0.0295072292711714,0.0154798761609907,0.0532197977647685,0.0205634382068682,NA,0.0154798761609907,NA,NA,NA,NA,0.345928685470995,0.575776269792309,2.25730303924461,1.03715170278638,0.212879191059074,0.0205634382068682,0.0442608439067572,0.0154798761609907,13.2783395423097,34.5877030639523,30.6580112127471,29.1331269349845,11.4156466205428,7.58790869833436,5.66538802006492,6.64086687306502,0.239489089941458,0.164507505654945,0.0147536146355857,0.123839009287926
"133",110,35.1885460778383,28.5071508918528,22.0126712833358,25.8328782086292,1.61322847348256,1.12485939257593,1.75335199646383,1.14691425450573,1.0082677959266,0.996304033424393,1.42920288787388,2.76351720371382,1.67372454123815,1.88012212759119,1.32606453514071,0.688148552703441,3.14579552329099,2.2657882050458,2.97627817887137,2.65428727471327,NA,0.0642776795757673,0.044202151171357,0.0109229929000546,0.241984271022384,0.0803470994697091,0.25047885663769,0.0218459858001092,NA,NA,0.0147340503904523,NA,1.53256704980843,2.24971878515186,4.09606600854575,0.928454396504642,0.342811050615043,0.192833038727302,0.235744806247237,0.0327689787001638,45.0292397660819,52.5470030531898,47.3110358037424,53.5554341889678,9.63904012905828,9.93090149445605,18.0639457786946,12.1463681048607,0.584795321637427,0.160694198939418,0.486223662884927,0.218459858001092
"144",111,70.5627705627706,58.1022385566321,48.5278467541681,49.8076250437216,1.03230103230103,1.70397594386903,3.2990422135509,1.2242042672263,0.999000999000999,2.83995990644838,6.31429584959205,9.51381601958727,1.76490176490176,2.70631473438022,1.20610145441646,0.874431619447359,0.799200799200799,4.47711326428333,8.4072366087265,8.98915704791885,NA,0.0668225860340795,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0349772647778944,NA,0.0334112930170398,NA,0.0349772647778944,NA,0.100233879051119,0.0354735721887194,0.0349772647778944,21.5118215118215,26.2946876044103,29.1947499113161,26.6176984959776,3.26340326340326,3.64183093885733,2.97978006385243,2.86813571178734,0.0666000666000666,0.0334112930170398,0.0354735721887194,NA
"152",112,52.6890101325019,49.4245524296675,45.1825557809331,32.3560767590618,3.66328916601715,8.18414322250639,9.22920892494929,8.63539445628998,2.65003897116134,0.831202046035806,3.9553752535497,2.23880597014925,3.97505845674201,4.85933503836317,4.5131845841785,3.5181236673774,8.57365549493375,10.4859335038363,9.83772819472617,11.8869936034115,NA,0.0639386189258312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155884645362432,NA,NA,NA,NA,NA,0.202839756592292,0.0533049040511727,19.8752922837101,21.6112531969309,22.7687626774848,36.6204690831556,8.26188620420888,4.47570332480818,4.25963488843813,4.31769722814499,0.155884645362432,0.0639386189258312,0.050709939148073,0.373134328358209
"161",113,36.8465077373484,42.6959045469203,21.9423453680381,22.3977695167286,5.22793810121288,4.77265398258626,8.64819479429051,5.79306071871128,3.72229192806357,3.83747178329571,11.6988525048978,18.2775712515489,3.34588038477624,4.77265398258626,8.9840470193115,3.40768277571252,1.67294019238812,1.32215414382457,1.70724881052337,1.54894671623296,0.125470514429109,0.128990648178007,0.195913797928911,NA,0.209117524048515,0.0322476620445018,0.139938427092079,0.185873605947955,NA,NA,NA,0.0309789343246592,1.79841070681723,3.51499516285069,7.13685978169605,2.85006195786865,0.836470096194061,5.4176072234763,0.419815281276238,0.247831474597274,41.9071518193225,30.7965172524992,34.1729638958858,40.4894671623296,4.30782099539941,2.70880361173815,4.95382031905961,4.77075588599752,NA,NA,NA,NA
"172",114,26.993006993007,43.0696576151122,39.4559460760713,45.2742772424018,9.09090909090909,6.3754427390791,4.64612421762157,2.8169014084507,15.3496503496503,9.04368358913814,12.5421280693308,9.84062268346924,2.44755244755245,2.99881936245573,1.44439094848339,1.18606375092661,3.42657342657343,3.51829988193625,4.28502648050072,4.74425500370645,0.174825174825175,0.141676505312869,NA,0.055596738324685,0.41958041958042,NA,NA,0.0741289844329133,NA,0.0236127508854782,NA,NA,0.909090909090909,0.188902007083825,0.264805007221955,0.11119347664937,NA,0.0944510035419126,0.0240731824747232,0.0370644922164566,24.4055944055944,22.2195985832349,27.4434280211844,28.7064492216457,16.1888111888112,12.0897284533648,9.82185844968705,7.02372127501853,0.594405594405594,0.236127508854782,0.0722195474241695,0.129725722757598
"183",115,30.0289855072464,34.4901960784314,25.7846586910626,24.8551564310545,3.39130434782609,4.07843137254902,3.54679802955665,1.95828505214368,3.68115942028985,3.31372549019608,3.2512315270936,2.42178447276941,3.76811594202899,4.58823529411765,2.7304714989444,1.12398609501738,5.21739130434783,3.66666666666667,2.91344123856439,3.60370799536501,0.0289855072463768,0.0196078431372549,NA,0.0115874855156431,0.347826086956522,0.0196078431372549,0.126671358198452,NA,NA,0.0196078431372549,0.394088669950739,0.0231749710312862,0.289855072463768,0.117647058823529,0.591133004926108,0.301274623406721,0.0869565217391304,0.117647058823529,0.0985221674876847,0.0463499420625724,43.1594202898551,36.9803921568627,41.9141449683322,49.026651216686,9.65217391304348,12.5686274509804,18.5221674876847,16.3847045191193,0.347826086956522,0.0196078431372549,0.126671358198452,0.243337195828505
"195",120,50.0097068530383,32.6627593853952,26.7688517859587,18.9185470555861,11.648223645894,14.5731031205449,15.6699055700014,15.5751238304898,4.83401281304601,9.15571043877713,12.864376625154,16.9922949917446,11.2599495243642,11.4842388721685,7.78705351033256,8.48926802421574,0.36886041545331,1.10882306351972,1.23169563432325,5.09080902586681,0.13589594253543,0.0792016473942658,0.136855070480361,0.165107319757843,0.01941370607649,0.142562965309678,0.109484056384289,0.0275178866263071,NA,NA,NA,0.0550357732526142,0.91244418559503,1.33058767622367,1.21801012727522,0.357732526141992,0.15530964861192,0.0475209884365595,0.0410565211441084,0.0550357732526142,15.0456222092798,20.608268651988,25.2223894895306,23.3489268024216,5.57173364395263,8.68050055441153,8.69029697550294,10.7044578976335,0.03882741215298,0.126722635830825,0.260024633912686,0.220143093010457
"207",122,59.6950444726811,56.8434032059186,51.5272623465601,27.7941570624497,10.1651842439644,7.24414303329223,7.45075649443334,6.11096220852318,3.86277001270648,3.48335388409371,6.30887810448187,14.8485660680783,6.12452350698856,2.08076448828607,2.96888381387382,3.51112302331815,4.21855146124524,19.0813810110974,16.8998001712818,33.1278477619941,0.0508259212198221,NA,0.0285469597487868,NA,NA,0.0154130702836005,NA,NA,NA,NA,NA,NA,0.0508259212198221,0.0154130702836005,0.0285469597487868,0.0268024658268561,NA,0.030826140567201,NA,0.0268024658268561,9.37738246505718,8.07644882860666,9.73451327433628,8.95202358616993,6.45489199491741,3.1134401972873,4.9671709962889,5.60171535781292,NA,0.0154130702836005,0.0856408792463603,NA
